Episode,Noise_Scale,Reward_MarketMaker,Reward_Conservative,Reward_Aggressive
583,0.2725,-20000.00,-27.08,0.00
584,0.2712,-20000.00,0.00,0.00
585,0.2700,-20000.00,1.27,0.00
586,0.2688,-20000.00,0.00,0.00
587,0.2675,-20000.00,0.00,0.00
588,0.2662,-20000.00,0.00,0.00
589,0.2650,-20000.00,-60.16,0.00
590,0.2638,-20000.00,0.00,0.00
591,0.2625,-20000.00,0.00,0.00
592,0.2612,-20000.00,0.00,0.00
593,0.2600,-19870.22,0.00,0.00
594,0.2588,-20000.00,0.00,0.00
595,0.2575,-20000.00,-33.12,0.00
596,0.2562,-20000.00,0.00,0.00
597,0.2550,-20000.00,0.00,0.00
598,0.2538,-20000.00,0.00,0.00
599,0.2525,-20000.00,-11.02,0.00
600,0.2512,-20000.00,0.00,0.00
601,0.2500,-20000.00,-11.66,0.00
602,0.2488,-13144.20,-3885.00,-6250.00
603,0.2475,-20000.00,0.00,0.00
604,0.2462,-20000.00,0.00,0.00
605,0.2450,-20000.00,0.00,0.00
606,0.2438,-20000.00,0.00,0.00
607,0.2425,-20000.00,0.00,0.00
608,0.2412,-20000.00,0.00,0.00
609,0.2400,-20000.00,0.00,0.00
610,0.2388,-20000.00,0.00,0.00
611,0.2375,-20000.00,0.00,0.00
612,0.2362,-20000.00,-4.70,0.00
613,0.2350,-20000.00,0.00,0.00
614,0.2338,-20000.00,-28.01,0.00
615,0.2325,-20000.00,-63.08,0.00
616,0.2312,-20000.00,0.00,0.00
617,0.2300,-20000.00,0.00,0.00
618,0.2288,-20000.00,0.00,0.00
619,0.2275,-20000.00,0.00,0.00
620,0.2262,-20000.00,0.00,0.00
621,0.2250,-20000.00,0.00,0.00
622,0.2238,-20000.00,0.00,0.00
623,0.2225,-20000.00,0.00,0.00
624,0.2212,-20000.00,0.00,0.00
625,0.2200,-20000.00,0.00,0.00
626,0.2188,-20000.00,-5.39,0.00
627,0.2175,-20000.00,0.00,0.00
628,0.2163,-19875.20,0.00,0.00
629,0.2150,-20000.00,0.00,0.00
630,0.2137,-20000.00,0.00,0.00
631,0.2125,-19119.79,0.00,0.00
632,0.2113,-20000.00,0.00,0.00
633,0.2100,-20000.00,0.00,0.00
634,0.2087,-19826.48,0.00,0.00
635,0.2075,-20000.00,0.00,0.00
636,0.2063,-20000.00,-1.00,0.00
637,0.2050,-19457.75,0.00,0.00
638,0.2037,-19364.90,0.00,0.00
639,0.2025,-20000.00,0.00,0.00
640,0.2013,-20000.00,0.00,0.00
641,0.2000,-20000.00,0.00,0.00
642,0.1987,-20000.00,0.00,0.00
643,0.1975,-20000.00,-41.00,0.00
644,0.1963,-19293.47,0.00,0.00
645,0.1950,-20000.00,0.00,0.00
646,0.1937,-20000.00,0.00,0.00
647,0.1925,-20000.00,0.00,0.00
648,0.1913,-20000.00,-18.12,0.00
649,0.1900,-20000.00,0.00,0.00
650,0.1887,-20000.00,0.00,0.00
651,0.1875,-20000.00,0.00,0.00
652,0.1863,-20000.00,0.00,0.00
653,0.1850,-20000.00,15.70,0.00
654,0.1837,-19621.28,0.00,0.00
655,0.1825,-20000.00,0.00,0.00
